A	Coef.DKOvsDFC	Coef.CrATKOvsCrATFL	Coef.DKOvsCrATKO	Coef.DFCvsCrATFL	t.DKOvsDFC	t.CrATKOvsCrATFL	t.DKOvsCrATKO	t.DFCvsCrATFL	p.value.DKOvsDFC	p.value.CrATKOvsCrATFL	p.value.DKOvsCrATKO	p.value.DFCvsCrATFL	F	F.p.value	Res.DKOvsDFC	Res.CrATKOvsCrATFL	Res.DKOvsCrATKO	Res.DFCvsCrATFL
583	3.7784057568595	0.25886017399877	0.202199095100472	0.320281812996837	0.263620734098538	1.56785590635359	1.49991187955738	2.12502385098729	1.74908572651206	0.148993663656711	0.165529266384694	0.0604135384585301	0.111849212919942	4.07075676625375	0.0408708607142062	0	0	0	0
586	5.82932362418336	0.627454338326033	0.0430045973054121	0.623005133074586	0.038555392053965	3.79614928310535	0.318655685079619	4.12898594152063	0.255527062794808	0.00371914527332609	0.756757093661921	0.00219439781244208	0.803663833931619	8.04142265592014	0.0054814944614467	1	0	1	0
588	3.58174084125442	0.661876709830712	0.115940667572989	0.686305961694929	0.140369919437207	2.80575894026985	0.6019420489679	3.18699696983482	0.651835380822749	0.0191725018263246	0.561046995005484	0.0101000082050848	0.529680291339923	5.20097812314913	0.0211425177646226	1	0	1	0
594	6.08615402374489	0.464211930369038	0.110770667674299	0.446517569154984	0.0930763064602447	2.82218672116422	0.824783281867093	2.9737100538118	0.619867990449506	0.0186475776419584	0.429352101286638	0.0144420486044386	0.549657911953629	5.03396897708719	0.0231823258115133	1	0	0	0
596	4.85867452156378	-0.284541594355618	0.212380642270068	-0.158808866538524	0.338113370087162	-1.241186828804	1.13462397737104	-0.758851447313721	1.61563913803592	0.24377499395774	0.283850091337782	0.4660188065321	0.138256360011166	1.06498629583612	0.40820416744655	0	0	0	0
600	7.05738871400674	0.280734061275907	0.33581251875846	0.23051659815702	0.285595055639573	1.50824613584143	2.20963034020581	1.35665661797359	1.68080921457136	0.16341799189819	0.0524513676274382	0.205686381498428	0.124728158616531	3.92345732952588	0.0448370878108739	0	0	0	0
612	4.7029584170917	0.431692411856311	-0.20143902959661	0.605962379018362	-0.0271690624345586	2.15701182352859	-1.23272828492058	3.31676266239549	-0.148711099856094	0.0572751206127764	0.246779032075124	0.00813863684809263	0.884834125313983	3.73019812757983	0.0507628831792005	0	0	1	0
623	3.60391279969393	1.19948460507641	0.19056231953779	0.54371082174976	-0.465211463788858	5.43901974135093	1.05829956288685	2.70075107034558	-2.31082463049274	0.000319630378897128	0.315615000722764	0.0228987101012803	0.044256947888093	10.2596516752866	0.00235553586485443	1	0	0	0
625	4.87491455318358	0.681304392527588	0.233749406039378	0.421356332943952	-0.0261986535442587	3.25237427023013	1.36664423362819	2.20343110778293	-0.137002635745659	0.00905737544440131	0.202639969499474	0.0529985979750136	0.893836466711225	4.86023938999575	0.0255602673211216	1	0	0	0
626	7.85744519919523	0.288518474907486	0.241136385868561	0.26883268381575	0.221450594776826	2.49657584300919	2.55552134679971	2.548260526056	2.09912649433717	0.0323493255991953	0.0292793489584602	0.0296412859133607	0.0630746591795199	7.85422778416849	0.00592868922949127	0	0	0	0
