A	Coef.DKOvsDFC	Coef.CrATKOvsCrATFL	Coef.DKOvsCrATKO	Coef.DFCvsCrATFL	t.DKOvsDFC	t.CrATKOvsCrATFL	t.DKOvsCrATKO	t.DFCvsCrATFL	p.value.DKOvsDFC	p.value.CrATKOvsCrATFL	p.value.DKOvsCrATKO	p.value.DFCvsCrATFL	F	F.p.value	Res.DKOvsDFC	Res.CrATKOvsCrATFL	Res.DKOvsCrATKO	Res.DFCvsCrATFL
0	9.352076079626	0.153631235716542	0.0312465094640597	0.112898392442821	-0.00948633380966157	1.91031314122157	0.475852306282481	1.53781261985385	-0.129215337198289	0.0899557567699355	0.646042239752452	0.160056879694255	0.900160652666671	1.6226016224235	0.254769469802278	0	0	0	0
1	9.29000023277852	0.174461364847092	-0.110015456035457	0.23144124524589	-0.0530355756366596	1.87921537601531	-1.45136492854548	2.7309180747425	-0.625799485120507	0.0944730222906029	0.182182779959025	0.0241694330701375	0.547703386928362	2.61789090781675	0.118062790312991	0	0	0	0
2	16.0616746832996	-0.035322122195943	0.134740336058121	-0.0396760700965153	0.130386388157548	-0.405829367690945	1.89600700909895	-0.499362533441434	1.64104148818787	0.694785708432834	0.0920078516430125	0.630056606477282	0.136801388955937	1.47041849069607	0.289639967865944	0	0	0	0
3	15.583449583285	-0.0305470092467193	0.0248731309926882	-0.0223060448423951	0.0331140953970124	-0.52748862383121	0.526042082029962	-0.421946700695309	0.626394477281919	0.611198759413674	0.612161396951588	0.683422379284168	0.547331061105355	0.191954655671122	0.899136937266539	0	0	0	0
4	13.2579142942096	0.296568656438318	-0.148530618432961	0.0721257944734841	-0.372973480397794	1.38955268304454	-0.852337087708364	0.370195385082818	-1.91433678075187	0.199605988478283	0.417146483844184	0.720195327188802	0.0893864677952062	1.28317383164962	0.340486377388823	0	0	0	0
5	12.6310930857106	0.226338423330953	-0.303357015197632	-0.129382176913669	-0.659077615442254	0.614618184838798	-1.00889690901779	-0.384868348696666	-1.96053366521612	0.554727719199434	0.340583911763384	0.70968586022172	0.0830910087986103	1.38202792986442	0.312455082245801	0	0	0	0
6	5.6588322956446	-0.589627402657166	-0.0313271110653055	-0.36065996139384	0.197640330198021	-2.39056923490231	-0.15555703027994	-1.60181450504235	0.8777884477918	0.0417597201165394	0.879974406087543	0.145252567194671	0.403930329321076	2.00037537410661	0.187620589987764	0	0	0	0
7	11.0197725546367	0.0699495812874318	0.109219112374817	0.0259341050063764	0.0652036360937611	0.9724211497106	1.85957435812981	0.3949400390508	0.992959910465108	0.35741326152039	0.0974356878802339	0.702509501565697	0.347862060057229	1.78891760691716	0.222178171767103	0	0	0	0
8	14.40046656516	-0.0224632030327747	0.0407473126898452	0.0349037813766913	0.0981142970993112	-0.348293845124561	0.773782171373642	0.592839619925144	1.66646822514255	0.735998651711309	0.459814288234637	0.56855776906119	0.131564920783075	1.09076114022653	0.403749405093635	0	0	0	0
9	11.938514011422	-0.061972710224957	0.0178962608128028	-0.0703987082441362	0.00947026279362362	-1.03943897809117	0.367626186335362	-1.2934624410776	0.174000767005652	0.326959312265771	0.722042038464088	0.229533385649043	0.865894329997293	0.614059873970894	0.623638429519936	0	0	0	0
10	14.1001829861813	0.0296562693480151	-0.0729090722018384	0.0607693896635801	-0.0417959518862734	0.472164793013816	-1.42168795693014	1.0598699546456	-0.728957027136685	0.648567469361137	0.190375404807574	0.318081118967915	0.485417592393409	0.766295973812744	0.542274191345969	0	0	0	0
11	11.2408463891655	0.0503882207513566	-0.296516760862465	-0.852643196418015	-1.19954817803184	0.155122037886159	-1.1179936967843	-2.87542756836672	-4.04531920876995	0.880307046243796	0.293846274191171	0.019187546991649	0.00319602090691205	8.4074469097704	0.00627421154517633	0	0	0	0
12	3.87839158108807	0.0202574408499969	0.185491029669426	-0.206232543268029	-0.0409989544485998	0.136225372360699	1.52771367363436	-1.51922201379071	-0.302020782722759	0.894780582800389	0.16251238896112	0.164602996964105	0.769817003473928	1.3369763608701	0.324884925777319	0	0	0	0
13	12.3805737476348	0.000669318558312426	0.128152625857222	-0.0285220055927322	0.0989613017061775	0.00579853178004304	1.35974763988384	-0.27067980724447	0.939163481452915	0.995505827870919	0.208509761816041	0.793025470477611	0.373290345420848	0.690794159494026	0.581226951009342	0	0	0	0
14	7.78295890660615	0.186747897213432	-0.0172245291541628	0.125273755007012	-0.0786986713605824	2.72295332219523	-0.307593720210014	2.0009451992777	-1.25702090305887	0.0244797153431965	0.765714804342918	0.0779331267253447	0.241833241503397	2.595266790273	0.119991998077382	0	0	0	0
16	14.5080111772733	-0.00780235390427464	-0.00974616122132943	0.0368143722754812	0.0348705649584264	-0.135079343920583	-0.206653382362665	0.698186295437955	0.661321898577288	0.895659754512284	0.841093336759042	0.503512251116649	0.525736486053301	0.328361104797746	0.805150329170624	0	0	0	0
17	14.8606705104635	-0.0114671626426865	0.03140582534974	-0.00659649723479561	0.036276490757631	-0.196356046607237	0.658634002820817	-0.12373492942928	0.680462503669414	0.848895901317088	0.527379898717816	0.904370560674054	0.514123649229269	0.209109080890216	0.887472722764411	0	0	0	0
18	7.21392209861682	-0.44886467246942	0.124384773198522	-0.411985666739469	0.161263778928474	-1.74521652420983	0.592306827202697	-1.75471512811114	0.686849119634809	0.116491286485643	0.568898540722109	0.114785101832203	0.510284124982866	1.32225899998519	0.329068993009186	0	0	0	0
19	14.9446626764628	0.032487328543553	0.0619427509473436	0.0466359250864219	0.0760913474902125	0.503670660920663	1.17616640852565	0.792034085950482	1.29228573779697	0.627149064532446	0.271079634581274	0.449649131775358	0.22992219909057	1.2697487063499	0.344512969288095	0	0	0	0
20	13.6712039082591	-0.0674320618668354	-0.12527221700377	-0.0856430079294874	-0.143483163066422	-0.925719893095529	-2.10626761447395	-1.28794018055393	-2.15776787170257	0.379852945524213	0.0658969259235244	0.231362880402641	0.0606878310678266	3.74325752498241	0.0562081612732963	0	0	0	0
21	14.8630257741784	0.0147911706493264	0.0377659843722551	0.0156103850670188	0.0385851987899475	0.212804510736234	0.665464236116982	0.246026858263005	0.608120503945852	0.836441197174511	0.52320988231	0.811436342041693	0.558833534735421	0.284304089174874	0.835556442104399	0	0	0	0
22	14.3513227412106	-0.0466977090624958	0.0514335428796748	-0.025482608172231	0.0726486437699396	-0.648318928118731	0.874551112281672	-0.387549896906294	1.10487020061405	0.533715340066057	0.405594793278766	0.707772167980499	0.299186916465698	0.480810429868609	0.704022637812858	0	0	0	0
23	8.02752538207218	-0.000319858434203901	-0.0983244393171372	-0.0411880433243734	-0.139192624207307	-0.00361236142537942	-1.36000497545328	-0.509559817042659	-1.72202810330616	0.997200216054827	0.208431452792134	0.623185553705722	0.1207556221753	1.44653963517871	0.295606083502221	0	0	0	0
24	12.6709866435063	0.179574329757122	-0.122892305640052	0.03400553222456	-0.268461103172614	0.946790836476471	-0.793560630188424	0.196403847504177	-1.55053575459807	0.369604055987169	0.448805809660568	0.84885964008204	0.157010474531101	0.814329324241913	0.518892824684224	0	0	0	0
25	14.409865536137	-0.0490198006409184	0.0287963429344824	-0.017628179457521	0.0601879641178797	-0.66689381539488	0.479808696943396	-0.262714011116128	0.896985506213207	0.522339628360275	0.643338236611687	0.798960065440594	0.394159676200025	0.292037970473601	0.830202266165144	0	0	0	0
26	10.9178535031539	0.0472206029042912	0.0298364338993231	0.0567744996117128	0.0393903306067447	0.789701345214875	0.611116336964135	1.04010045956771	0.721625047279974	0.450939878347163	0.556938331903858	0.326668914493989	0.489691098474867	0.849643257559169	0.502377753639278	0	0	0	0
27	13.2206274387099	0.29838517204457	-0.19027565577767	0.121300599248505	-0.367360228573736	1.29335343050112	-1.01011039111377	0.575961628836568	-1.74430626831146	0.229569382353528	0.340034488230739	0.579408632641861	0.116656019355772	1.12520023223996	0.391505479243113	0	0	0	0
28	12.943734679998	-0.0706737348127859	0.0854320969137525	-0.0661491483594965	0.089956683367042	-0.819214413345669	1.21284761308519	-0.839951910757042	1.14225640017126	0.434792857834543	0.257471782036162	0.423685742386848	0.284171858089587	0.729268529919905	0.561036840991529	0	0	0	0
29	12.5543100966839	-0.0734079175997664	0.0175285189396703	-0.0666658689251083	0.0242705676143284	-1.2436416326304	0.363699915027015	-1.23721881225747	0.450425432395505	0.246484634411259	0.724867899831154	0.248743751602177	0.663551150367757	0.662814683299859	0.59635923985228	0	0	0	0
30	13.0869914477929	0.026306649332394	0.00908375379456494	0.118948153295408	0.101725257757579	0.343217765907105	0.145149387823253	1.70001420885373	1.45386354303214	0.739680637247258	0.887939882784833	0.124936861381259	0.181507289761964	1.70411307218003	0.23813591214835	0	0	0	0
31	8.87088093357711	0.297291545114616	-0.40425063854431	0.164781675159796	-0.53676050849913	1.22225431977428	-2.03551996668274	0.742127558639853	-2.41740937128144	0.254073606581511	0.0737653490544497	0.477801229651949	0.0399948688495748	2.34684391095161	0.143900483264468	0	0	0	0
