,CrATFL_126_1_Proteins_norm,CrATFL_127N_1_Proteins_norm,CrATFL_127C_1_Proteins_norm,CrATKO_128N_1_Proteins_norm,CrATKO_128C_1_Proteins_norm,CrATKO_129N_1_Proteins_norm,DFC_129C_1_Proteins_norm,DFC_130N_1_Proteins_norm,DKO_130C_1_Proteins_norm,DKO_131_1_Proteins_norm
0,586.3560354717054,660.7471771352585,668.0089251723352,667.0665382711172,651.0556849416997,635.9311515119778,645.5262816589744,620.9081829997818,728.5719842257678,680.713032252551
1,600.6757844099603,614.6266476770994,691.6849612220337,542.8884851932802,613.4020942795872,610.0284665816569,601.4190107355357,621.8211340938839,668.5547168684786,712.4294782774705
2,59305.8682869471,65904.16587806017,68533.3252240425,72651.28762119092,67011.64345827365,72811.73906259073,67703.60152254373,73535.47177662978,68235.03235847168,69476.06557486931
3,47864.76572077973,48681.065954852456,49283.07508556525,49567.05615044771,48660.58869403631,50137.88451825222,48693.078842286646,50798.62765604162,48508.90406167933,48877.23394980202
4,10614.07425906676,11768.453141250091,9951.645727326324,9494.64222342076,11353.611885165454,8467.344866050651,10481.351393500843,6577.001120920904,10922.828979928938,9520.55323785263
5,9549.011528825844,7654.784284170822,6645.255543512303,4908.547569774883,9138.074610606755,5762.841485181335,6762.858064033989,3664.3828137043165,7158.888927093232,4737.560785962522
6,66.44865954681494,38.02590592060462,56.42335027935803,63.260517605690616,44.782670494139126,47.1509811622246,62.40504707071691,57.51591892842286,40.987402097660876,38.66930055891083
7,1895.4825568269139,1984.3122490549172,2045.2103784540293,2213.141873643528,1996.3431721176548,2185.033129180773,2065.8189270276985,2064.791057827244,2154.138923510228,2181.767654933424
8,20557.88377835695,20707.64710906589,21546.825635298,22002.847591857048,20975.96187647453,21631.676205345142,22007.89102135121,22811.503232283605,21366.251738894163,22776.122784615818
9,3851.258793393849,3993.284862840524,3958.6150849532237,4067.2217353214232,3863.0575827825437,4021.6953825213327,3911.583019863131,4008.6668151912077,3759.6531051673264,3827.308309505598
10,18623.964000695774,17865.963629736747,17423.29471303308,16749.686399940056,17209.197076211894,17282.959425578505,17822.41918378882,17087.908506327112,18104.093682657116,17528.05103560955
11,3500.5505562393932,3170.645214954176,4080.9866276008993,2461.986101077024,4404.968059591666,2254.444230204992,1432.330655991933,1681.8587933567037,2039.4369334563146,1266.6577047609733
12,14.194137105463305,12.61255295386391,16.237587942130364,17.669990257145066,14.760207539548096,16.39154280746864,14.156700492894114,13.59282740107348,12.44260420821848,15.905845303788443
13,4315.39451555922,5419.44458192221,5510.710781544568,5654.396882286421,5408.561762705838,5501.082712076883,5284.494055418903,5538.164214843341,5188.984193624021,5645.336903270351
14,224.7195688643704,220.5314296336055,215.26143121047687,209.794525207761,225.51990567227907,217.5420804694912,210.90594611862662,206.0226302356734,247.49280807439615,227.44406338590903
16,23101.649004221883,23273.07802929361,23067.26257104128,22659.761207549476,22724.996265123427,23601.089718953594,23290.372521105433,24144.20895165154,23646.698779072693,23524.554715137794
17,28694.39024744001,29469.32410023253,29772.388550541324,29593.328710495407,29652.85530865173,30625.47290613196,29552.545647298903,30565.602630533293,29744.72499779126,29889.17870663695
18,123.22520796866816,120.76048835677162,214.44501617428037,165.96123445937354,174.31102237180608,142.8694965688007,180.6664634331249,150.02829646408713,129.44490764516368,112.38860753575068
19,30136.665311554432,29904.363053611327,31003.360999562046,32854.1740948554,30486.55601069845,31730.687857279987,31582.732062881903,32398.19979342727,31895.09977212926,33558.76198726187
20,14384.941479473913,14282.02199671976,13538.79197081014,12949.857500609352,12853.228889268521,12878.592346156887,13521.960268753535,11988.36657269453,12324.138068992334,11979.673117484448
21,28463.766922434428,29385.08354132426,29743.26974758365,29508.297983898872,29071.283049678517,31369.36563897461,28735.790702535396,31285.71816575882,30212.10685334367,30373.402164867253
22,20272.493694254183,20325.693826328727,20598.695639928465,21892.727431580475,19858.20248647283,21727.09117366269,20670.99771358008,22262.413868686508,20411.830804334346,21131.820309618193
23,308.8794968348165,258.27496496569074,265.8791634546598,262.2187504458102,254.4378633007815,259.1280316662172,256.93929874177894,245.8881613447919,247.49280807439615,255.160236939217
24,7061.64601588439,7327.799142665424,6714.287970461806,5777.891565575307,7601.406473292171,6126.794444924944,7202.678820163564,4729.289545469013,6844.477911512451,6383.577663447982
25,21043.624735762496,21871.48455141311,21365.672210044173,21947.6898874632,20592.99975704707,23100.0346573327,21522.51843302341,23182.161376488995,21416.231275125494,21766.625453029872
26,1924.1220547034238,1828.3495606627346,1917.2146433347782,1893.1295639036302,1922.94377272031,1971.3359785056264,1940.912528801279,1942.4556112175826,1983.1838152712598,2029.6620564295315
27,10780.258713850193,11306.024240784916,9634.695267718484,8327.348999637978,11241.655208930106,8445.084746188657,10279.786943625826,6506.7038866750545,11420.533148257677,8857.365208809044
28,7616.724704990959,7540.235948761476,7714.849953711516,8837.240486450512,7508.12597802523,7976.003311278629,7835.300354434457,8402.80187011435,7462.739413051912,7998.925785317753
29,5927.11994210966,6000.186758976988,6115.1300466753755,6130.608000929258,5938.523500078184,6195.294904682081,6063.690407037993,6168.100469773687,5924.875356795799,5701.816940786199
30,8211.371121426919,8689.201873446676,8344.033808273616,8257.742905420606,8228.464269785218,8928.837623735,8570.004218790165,9508.487084082268,9004.785857277175,9385.496419644414
31,662.6024179762737,532.2685593589582,517.0628562577826,380.53934818978706,517.3101309098762,399.6703338858094,505.30753391983285,302.38969016865707,514.1200411076493,448.7924734817434
32,183.51888770868928,161.3277295740503,158.20309145852156,169.573331915254,204.53430447659503,191.74057790217944,181.34059202802464,182.89453585175735,173.56910071968636,176.96443457747864
34,44.96903613943241,45.64991181062683,66.22033071371602,69.9965912396299,56.83181950601512,49.98408732647844,56.53049788659079,61.87779637802107,58.657991267315694,69.05232242662647
35,13.31485427592133,11.012452952254307,10.613395470554485,14.643638334650605,11.34628198618323,10.826512841970025,13.964092322922767,7.6079257841829175,13.06996240359084,11.524594501547316
36,1531.961912727703,1812.6309312351577,1709.8452241408675,1861.8898021230423,1792.2105059414557,1818.6517927249465,1670.8758745014484,1875.10010827495,1844.955892890883,1868.6987117384986
37,353.7229211414573,333.95028268887427,341.71504903913456,331.2390991297967,329.0421775993137,335.0148039230165,338.21994646968795,316.7940296533767,324.13506760905284,317.92641691045407
38,1029.263357895277,1185.9564717812332,1090.7304883585225,1142.3014143583114,1172.0809701302376,1190.3093184386487,1123.3871513578902,1180.24288665291,1214.1472274439748,1176.4610849844005
39,3299.320400107072,4020.39243933838,4140.040648552445,4289.316916730291,4245.116016034111,4363.691769491975,4162.358857165827,4263.684487477019,4085.983926460183,4115.708905792253
40,1801.776129564298,2186.583713964272,1991.5084116286596,1880.9265319580882,2094.242507839147,2162.975374044797,1991.472173418758,2103.6421988318048,2105.6232230680985,2043.3772763321995
41,10061.13097111765,10628.899569515537,9319.468350964835,8088.657694783173,9685.808842771617,8651.49676672715,9824.653837983531,7566.640106927419,9388.62451314583,8410.00140406716
42,2841.465269581287,2843.189455801247,3038.9689030687678,3139.5960589490896,2955.85707176338,2852.634360314589,3159.544420210001,2941.629864206939,2993.0213904223024,2947.6293440817053
43,3723.7627831102627,3150.3145325807836,3185.37933289334,3236.244071957784,3339.0200103410366,3368.0573174827687,3148.7583626916053,3441.0141126807057,3243.1281909774166,3381.7541518342064
44,21262.69177215124,20773.721826779416,20459.179381520662,20924.49006489338,20443.489899724707,21024.480844927737,19688.984958981157,20976.471533138687,20989.000344076918,20823.41835097348
