,CrATFL_126_1_Acetyl_norm_log2_ro,CrATFL_127N_1_Acetyl_norm_log2_ro,CrATFL_127C_1_Acetyl_norm_log2_ro,CrATKO_128N_1_Acetyl_norm_log2_ro,CrATKO_128C_1_Acetyl_norm_log2_ro,CrATKO_129N_1_Acetyl_norm_log2_ro,DFC_129C_1_Acetyl_norm_log2_ro,DFC_130N_1_Acetyl_norm_log2_ro,DKO_130C_1_Acetyl_norm_log2_ro,DKO_131_1_Acetyl_norm_log2_ro
0,-0.2289266274272692,-0.3971468791371997,-0.4308712035474862,-0.1711426956595683,-0.0689816760161821,0.2353688021640905,-0.013883037721634572,0.5824416599729929,0.04525314016480353,0.4478885172074616
1,-0.06461186498755289,-0.4132347622979662,-0.3869011229537511,-0.07752871896951863,-0.4484111988950845,0.2357978148404456,-0.19468118759240927,0.44124043233640986,0.4667369672152111,0.44159364130422407
2,-0.5006486356939721,-0.5278439444701153,-0.044728489078698974,0.01354957827942993,-0.424220972552968,0.13086418304860015,-0.36912233425842045,0.6803284210998939,0.7848730299694591,0.25694916365680465
3,-0.14231832626030805,-0.35929814524160353,-0.39160039458269225,0.08202606420953806,-0.2619878567285765,0.06464878475620495,-0.33844892266730664,0.6750705856603068,0.19780480072467022,0.4741034101297741
4,-0.239486420320147,-0.6078855757368906,0.01791379131873061,0.5474017254279504,-0.43345886965866764,0.1393327216014919,0.15528349207205494,0.71391807240565,-0.14929905203536986,-0.1437198850747965
5,-0.6250244519767847,-0.4390906389835951,-0.15257521865928947,0.311370633432305,-0.17910160824377375,0.10407007676606295,-0.20484124707165563,0.7108514460666067,0.2617281633710222,0.21261284529910895
6,-0.004335848353658633,-0.3325878555121351,-0.11149828089359648,-0.1380416466013621,-0.7320931884902544,0.2629876168412766,-0.33763664918196845,0.7302974952688439,0.26167410767878785,0.4012342492440748
7,-0.08328853293388683,-0.27793635747282197,-0.3750227428805384,-0.1341532622439363,0.2069565447089312,0.2082278981600072,-0.5542328638241338,-0.1210748584828294,0.6179659785489404,0.5125581964202777
8,-0.3254354237513546,-0.6182007733995887,-0.04738705875195848,-0.0016393863499652994,0.07183821930105072,0.08561798456302494,-0.08670172800062037,0.11956921110575269,0.45853245410509924,0.3438065011785749
9,-0.3944249090112528,-0.48434484486009755,-0.18040933129105774,0.060975060435737305,-0.17575451389137342,0.22460138119778605,-0.13349622137025108,0.6162249816112171,0.1472425092093692,0.3193858879699336
10,-0.35615831081696214,-0.5381208757247817,-0.21792315609331858,0.07269013584883677,0.008784134103457575,0.23898006003944516,-0.10997694845407491,0.589859503278082,0.08445536906055473,0.22741008875876645
11,-0.9991693977234504,-0.6575700065742573,0.18899211352691125,0.9477098990261323,-0.6468281989887199,0.5173133983707183,-0.7204628748163753,0.3978978726442386,0.6797102209051298,0.29240697362967794
12,-0.3750416273415844,-0.6135389817417316,-0.19458919190483392,0.09528023363620797,-0.16553951003578682,0.43159923907430287,-0.26226897640071645,0.511867453597306,0.1976172102364604,0.3746141508803884
13,-0.4908611885410661,-0.38182288957357,0.2949461688211583,0.3025285870180179,-0.3038941861349791,0.20678863503007694,0.18815672786685234,0.09321456944267759,0.020059221347343836,0.0708843547234892
14,-0.22690068506495198,-0.3866771643639404,0.0065296890858701495,0.3372543202023346,-0.2608704839297289,0.11406309311368101,0.026270745734985113,0.43085068645019264,-0.20593285143251583,0.1654126502040807
15,-0.263218395838388,-0.44874631658947184,-0.16623592470951554,-0.03863890752024801,-0.15381313121669127,0.3083371276469151,-0.09871449292214418,0.4797719228006505,0.13916862680570485,0.24208949154320614
16,-0.22088268751881657,-0.7729582724739785,-0.4950228374507297,0.46831266765696355,-0.006865572217781057,0.1378585713144158,-0.021871172387582405,0.20052337249695817,0.23290012604706334,0.4780058045335007
17,-0.4031333217673829,-0.8536543389806344,0.32650225809000943,0.4700655133931084,-0.2600213806936349,0.4142604678665016,-0.16808597421871685,0.7287569776011606,-0.1089497963322783,-0.14574040495812746
18,-0.19026113074878026,-0.5815093303006709,-0.10952209308673133,0.16809322420856532,-0.21051581685658505,0.21415611544575341,-0.28094806064589584,0.5391803486943889,0.21982830118277974,0.23149844210718662
19,-0.29389417435732756,-0.527341815064208,-0.13809044424793537,-0.06523637504501423,-0.085623612811629,0.27526505214070696,-0.24608067018399193,0.6676470717241161,0.11027859971206677,0.3030763681332269
20,-0.36958815834115377,-0.7403491479886712,-0.07722246552411871,0.3579844547250497,-0.28131233534639755,0.28268630035111464,-0.07718391992088769,0.5189297268245472,0.22119307055064663,0.16486247466988324
21,-0.11671108147490727,-0.4860820759589757,-0.20553187802533568,0.028344399190300074,0.04174412361236968,0.2627530488946892,-0.2632204618672169,0.043013426090361406,0.45616634404461465,0.23952415549410233
22,-0.006974062023848759,-0.19262167373952543,-0.34725532249329305,0.3353196078842329,-0.41988039184487835,0.15384978187040677,-0.1794786509491031,0.6121820641787172,-0.14633768159560923,0.19119632871290904
23,-0.14488120949889627,-0.4402843370833658,-0.1946382993290321,-0.007797255531306391,0.17348393238659465,0.19267719383493276,-0.35761564321268313,-0.16412684297894664,0.5009062132625592,0.44227624815015343
