A	Coef.DKOvsDFC	Coef.CrATKOvsCrATFL	Coef.DKOvsCrATKO	Coef.DFCvsCrATFL	t.DKOvsDFC	t.CrATKOvsCrATFL	t.DKOvsCrATKO	t.DFCvsCrATFL	p.value.DKOvsDFC	p.value.CrATKOvsCrATFL	p.value.DKOvsCrATKO	p.value.DFCvsCrATFL	F	F.p.value	Res.DKOvsDFC	Res.CrATKOvsCrATFL	Res.DKOvsCrATKO	Res.DFCvsCrATFL
0	8.43769498715119e-16	-0.0377084824395466	0.350729713533432	0.248156018523352	0.636594214496331	-0.166775999508359	1.89982101513824	1.20229193249237	3.08423746042748	0.870878149617781	0.0867179061119551	0.257010349660832	0.0115880548218694	4.27476708058527	0.0348733693354211	0	0	0	0
1	7.99360577730113e-16	0.330885681887717	0.191535215738371	0.550879338601103	0.411528872451757	1.29549178100716	0.918440342832207	2.362673957121	1.76501183002108	0.224323549119231	0.380057966172798	0.0398275696705217	0.10809464756053	3.68024219889539	0.0510472005322863	0	0	0	0
2	1.28785870856518e-15	0.365308053392395	0.264471286005949	0.614180167221445	0.513343399834999	1.0774369300873	0.95533737191004	1.98435341121508	1.65856011143396	0.306648166266665	0.36198304612425	0.0753931964909505	0.128267882369843	2.90298309974452	0.0878887163978867	0	0	0	0
3	7.105427357601e-16	0.167643273930722	0.259301286107257	0.3743917746815	0.466049786858035	0.591282583394036	1.1201063349819	1.44652477041578	1.80066071566517	0.567486068644128	0.288909300919731	0.178707478522764	0.102013953285696	2.29212002853304	0.140388408753382	0	0	0	0
4	6.21724893790088e-16	-0.581110250793936	0.360911260703027	-0.230934661012008	0.711086850484955	-1.85617932088488	1.41191143532047	-0.808055401537085	2.4881391471438	0.0931675314188869	0.18839838341502	0.437902277016972	0.032143948040447	2.28341208953177	0.141369423699342	0	0	0	0
5	7.105427357601e-16	-0.01583459516241	0.484343137191421	0.158390803683534	0.658568536037365	-0.0561532735329125	2.10361807968953	0.615302529132332	2.55834856826914	0.95632841557526	0.0617656334608868	0.552131624821098	0.0285026823667297	3.1547976197813	0.0732570479192907	0	0	0	0
6	7.99360577730113e-16	0.135123755417994	-0.0529084111636499	0.533836584544878	0.345804417963234	0.377880186095649	-0.181214424080967	1.63539012122934	1.05936000901226	0.713435205505192	0.859827985282552	0.133084781577833	0.314410506192748	1.26882374491908	0.337303363480024	0	0	0	0
7	9.76996261670138e-16	0.902915948638091	0.33909293797075	0.471585027276275	-0.0922379833910658	4.75527134479634	2.18721942406489	2.7206871806626	-0.53214305897635	0.000779159729036437	0.0536495734376207	0.021578052895217	0.606274058171138	9.93046568597721	0.00242856727537315	1	0	0	0
8	1.50990331349021e-15	0.384735736089271	0.382280024472337	0.349230538470467	0.346774826853534	2.10421632654093	2.56067872426229	2.09233247146723	2.07761965402814	0.0617035858958902	0.0283891122242785	0.0629473406144899	0.0645202924300509	6.5596840807442	0.0100081799356428	0	0	0	0
9	1.06581410364015e-15	-0.00805018153083159	0.389667004301519	0.196706889342268	0.594424075174619	-0.0338585719777153	2.00725350902736	0.906302456662355	2.73873478164064	0.973657787308957	0.0725734891600097	0.386142170914967	0.0209205389523354	3.55778709556893	0.0554107667674458	0	0	0	0
