A	Coef.DKOvsDFC	Coef.S3KOvsS3FL	Coef.DKOvsS3KO	Coef.DFCvsS3FL	t.DKOvsDFC	t.S3KOvsS3FL	t.DKOvsS3KO	t.DFCvsS3FL	p.value.DKOvsDFC	p.value.S3KOvsS3FL	p.value.DKOvsS3KO	p.value.DFCvsS3FL	F	F.p.value	Res.DKOvsDFC	Res.S3KOvsS3FL	Res.DKOvsS3KO	Res.DFCvsS3FL
0	8.49788300701699	-0.112058505458629	0.163028683677165	-0.260848123206728	0.0142390659290665	-0.691971884942356	1.00671756313409	-1.80088651542012	0.0802665323664061	0.506880661906142	0.341068631653464	0.106158416272655	0.937829152280176	1.09972245953678	0.399658695815419	0	0	0	0
1	7.54078979021166	-0.0712651757231955	-0.0186023954509471	-0.0768044073025038	-0.0241416270302555	-0.842246744936884	-0.219852218949757	-1.01485297563851	-0.260458115501701	0.422049506913878	0.83102413333124	0.337386057553874	0.800529582554504	0.553930698879194	0.658633965363475	0	0	0	0
2	16.1858004195332	-0.0695089628561902	0.0991573058968207	-0.135524216879013	0.0331420518739982	-0.817461065634994	1.16614079124749	-1.78196094543658	0.355807450910411	0.435335190394551	0.27432571815138	0.10935801834483	0.730402883684118	1.12092417623707	0.392119546708871	0	0	0	0
3	15.5127934977237	-0.00406829966931532	0.039234321178423	-0.0472676095537121	-0.00396498870597384	-0.0677297625820191	0.653179823139353	-0.879802646075705	-0.0602584490431466	0.947521514616714	0.530409043672418	0.40245783581889	0.953302166079715	0.316353221142064	0.81340434241041	0	0	0	0
4	13.3754507832251	0.209478080810172	-0.260838988845423	0.254282475186677	-0.216034594468917	1.2097728968021	-1.5063912076816	1.6418621869146	-1.13893238788227	0.258001477854687	0.167148283077434	0.135962382921	0.284919735818542	1.34562321205391	0.321397694643409	0	0	0	0
5	12.9856116605984	0.210359688373538	-0.493673252056091	0.551869685622533	-0.152163254807096	0.942021058654774	-2.2107401048514	2.76305568780881	-0.622038490788813	0.371434456327937	0.0551754124560385	0.022555852935773	0.549762363865189	2.94207754234882	0.092962931137522	0	0	0	0
6	2.21478800804157	-1.31796540289204	0.608435972453462	-1.18246293199755	0.743938443347956	-2.94101518407436	1.35771351023033	-2.9500936211232	1.51544310237855	0.0169386241987669	0.208496792116674	0.016693871383819	0.164881066634084	4.0843474217124	0.044972494914633	0	0	0	0
7	10.245420178432	0.0419257094604024	0.0835135924720589	-0.0418337922788385	-0.000245909267182043	0.59256922052396	1.18036367258288	-0.661060048518202	-0.00317280178792568	0.56844889258773	0.268915152865404	0.525576978072758	0.997539555162828	0.669551992049391	0.592301203476642	0	0	0	0
8	14.2360249971776	0.0312589488232895	0.0567108135382099	-0.034600458181048	-0.00914859346612751	0.539542861910509	0.978852961775926	-0.667710857207781	-0.144150212898247	0.602954849808878	0.353911306229421	0.521519500313754	0.888643698134437	0.539793337135321	0.667186530136718	0	0	0	0
9	12.0007672854523	-0.00750724016302051	0.00224888708989113	-0.0174059262962967	-0.00764979904338503	-0.122146515642561	0.0365905067826174	-0.3166306262909	-0.113621410627735	0.90553926643665	0.971631787642703	0.758939360202139	0.912099364849968	0.0389415645948085	0.989023746522505	0	0	0	0
