,DFC_126_2_Acetyl_norm,DFC_127N_2_Acetyl_norm,DKO_127C_2_Acetyl_norm,DKO_128N_2_Acetyl_norm,DKO_128C_2_Acetyl_norm,S3FL_129N_2_Acetyl_norm,S3FL_129C_2_Acetyl_norm,S3KO_130N_2_Acetyl_norm,S3KO_130C_2_Acetyl_norm,S3KO_131_2_Acetyl_norm
519,3.1242084385754794,4.984412272933478,13.263534339776578,14.123158420924504,15.411968104955548,2.4186813103932034,4.06060554792129,6.781613537369939,7.230995738108497,6.8510172822030775
583,29.19518920186052,15.87627612860293,14.08114947031075,11.971948860121435,16.131193283186807,16.72044905880519,6.2842704908305675,9.494258952317914,10.693726091568905,9.460928627804249
586,14.543728938196198,13.199462130175693,20.2586860121245,15.90024457984878,18.18612236384755,15.143048204200927,8.314573264791212,17.63219519716184,20.369002079178866,15.768214379673749
594,7.972118084640879,6.092059444696472,6.268382667428657,5.611851028181922,7.089505328279553,5.3631629056544945,2.4170271118579105,3.234307994745663,7.027305717316709,3.371135488068181
596,49.44867838986707,42.82902397483581,39.24552626564029,51.441967758334286,24.55640251389584,22.083611964459685,27.26406582175723,22.74448847917918,19.350551975219922,19.35684247987536
600,159.87328699469006,155.71673156368107,220.02931623930732,199.22071150045824,188.6424896046559,162.05164779634464,163.97111926844065,182.6862354451502,177.51585312004383,157.6821437967375
601,109.23956402467367,127.10251295980368,160.43425783592764,154.88708837782104,141.48186720349193,123.87854711492146,123.94515029607365,115.49609516720804,130.15792328595296,136.0416288894611
607,5.8174915752784795,6.368971237637222,7.540228426037371,7.575998888045595,6.16478724198222,6.309603418417053,5.414140730561719,6.677281021410401,7.5365307692961805,2.8274039577346035
608,248.75163050588907,228.08301345219675,152.2581065305859,273.3906759229293,127.30285654693284,100.95365469467285,129.4559721111097,127.49433450255485,113.55718659142218,109.3987839031158
625,5.494297598874119,9.322697029005209,11.809996329938048,9.633677598378966,9.144434408940294,2.6290014243404385,10.054832785328909,3.3386405107052006,5.7033205821700825,3.044896569868034
626,63.022825398850195,63.966624169312965,81.94320530464708,75.85351973092564,80.96420577803315,66.35599595035268,56.945158755372375,74.18041884723117,76.38375779692075,62.31163337622799
628,92.97213387898755,97.74986290808432,91.57289461982734,123.08659921812348,64.83301249484634,53.73678911351857,61.77921297908819,69.69412066097107,52.34833534348969,61.76790184589441
637,127.01523272691347,117.68751199981823,155.2560286758779,151.4264469104422,167.1684807117512,98.64013344125325,115.43721486233382,137.30159100275137,126.89888295328433,102.76525923304617
639,14.112803636323719,12.830246406254695,23.619992659876097,10.849578654485049,22.706966341301175,7.781844216047698,6.864356997676466,8.86826385656069,6.518080665337237,8.808450791403956
641,268.466463066555,235.4673279306167,333.4052810067126,321.55906391482415,307.62288337491276,224.2012414677526,231.64787840046216,251.54569597844494,281.29591871346014,240.76432163170816
647,62.80736274791395,57.78226079363625,85.39535807801359,77.16295163750142,74.38843271991878,63.30635429811777,57.235202008795326,85.55266308682077,83.30921850384156,63.29035013082843
649,65.28518323368071,63.32049665245122,29.615836950460032,60.51446025389506,15.514714558988585,21.34749156564436,28.230876666500397,18.258190292919068,13.13800634107037,18.921857255608497
654,8.618506037449599,6.2766673066569725,5.723305913739209,10.568986103075954,1.7466897185616288,2.4186813103932034,6.864356997676466,2.8169779309075134,2.8516602910850413,5.002330079068913
660,157.07227253251895,150.45540749780685,202.95024462370463,198.09834129482186,203.74621834751238,135.13067321109855,136.41701019326047,151.90814323708662,175.78448794331362,159.9658162241385
