,CrATFL_126_1_Acetyl_norm,CrATFL_127N_1_Acetyl_norm,CrATFL_127C_1_Acetyl_norm,CrATKO_128N_1_Acetyl_norm,CrATKO_128C_1_Acetyl_norm,CrATKO_129N_1_Acetyl_norm,DFC_129C_1_Acetyl_norm,DFC_130N_1_Acetyl_norm,DKO_130C_1_Acetyl_norm,DKO_131_1_Acetyl_norm
583,12.686795111962777,12.518429424357462,10.341257125155654,11.812534923284822,15.161845839943963,13.963166095251063,14.541916832836812,13.795705421985025,15.788514583537735,18.191715287566424
586,58.9119495793123,51.29732358101366,44.177124736410555,52.22897672692049,48.29700562260295,57.876311641185566,53.15985491209219,51.835334342899614,87.62102795367299,75.05273113404367
588,9.169663793794879,9.97709412768339,11.792661633949429,11.714910667720485,10.342186235193564,11.332424657015354,9.919320753524449,12.882754327883074,23.00313383031988,13.905709067982711
594,66.69988321239836,63.62750594635822,52.61341344377437,69.70371847293688,65.66786211472419,61.41769434650286,57.49353873644753,72.83320950724446,86.8891100590719,91.72053309909144
596,26.62970855184266,22.87201767006664,29.844505212072015,41.099811592586036,24.901574624543727,27.62278510147493,34.57316650985705,31.953288293568257,29.172156084814755,25.525548152187444
600,93.58081542982444,118.03090600108465,121.73655317507793,160.20140338107763,136.3562029843967,123.74602996008731,123.65444512160575,146.37649208767934,178.0651677865216,150.01021768542995
612,28.137050545343186,24.848611789702026,24.492451085894967,22.941700057619283,18.174133092912964,27.015690923420532,22.053635461719402,29.01155699035086,34.81837984316599,33.43084851275296
623,12.435571446379356,12.047811776825228,9.524842088959154,10.73866811207711,16.266351166032596,12.14188356108788,8.859975818682031,7.506486773727146,20.807380146516618,16.858291130362602
625,25.373590223925554,22.966141199573087,28.846664612276296,28.408658369222177,35.745808735232124,26.91450856041147,29.565354090601996,21.403631206167944,44.96067066835249,36.19294140981802
626,191.1812095089836,199.165388435642,207.91369588470837,234.49346186553836,237.97069298455094,234.23717036598703,226.21829563134884,238.6859916024321,286.38901618748247,281.25725258734894
628,63.5595873926056,62.12152947425507,65.58534124111874,76.53741636244051,87.55714948629891,76.59504879786272,74.44305769392619,75.87637982091763,88.771184645189,85.434390643702
634,6.0293679740021116,8.471117655580237,12.88121501554476,20.79396643520386,8.233585158115265,13.760801369232931,7.222806373925569,9.839584014209906,19.86634285345808,13.238996989380801
637,148.72441002538542,139.77344131707392,158.02166589492234,184.31459450546896,183.95034158130687,207.52502653159368,158.80543614137684,170.41753756569736,227.62646522093806,224.30099215821429
642,24.24308372880016,28.9900470879857,39.18792173743195,37.58533839226989,29.520415079096193,31.366532532810357,38.32902582429835,22.519460321181437,35.55029773776708,32.09742435554914
644,14.319748938255016,14.212652955473509,15.78402403313231,18.93910557948145,14.96102668974603,14.469077910296392,16.853214872492995,13.99858344289657,14.952036989707922,16.858291130362602
647,178.11757889864575,173.65791193939486,178.61346736343404,186.16945536119135,205.5384002275847,211.16759159992003,197.1344619656752,184.72043803996124,242.2648231129598,226.7773513073071
651,40.94945749009768,30.966641207621088,31.749473629863846,59.06267461642411,50.807245000077124,41.889498285753184,46.41856896309499,33.9820685026837,57.71695397425715,59.62310874354231
654,19.721057748298573,16.001000016096004,30.66092024826851,32.31362859179567,23.29502142296026,27.72396746448399,22.920372226590473,26.77989876032387,24.88520841643696,21.144297349946314
660,302.7245170280227,255.9218767280296,300.1685949749127,347.1518527867837,319.3024488147139,319.63508474563844,280.7264077332405,311.0120060573977,413.9518492465291,363.73906116867107
664,65.56937671727297,61.839158885735735,68.4881502587063,68.72747591729352,81.03052710486608,77.60687242795338,66.9313390650436,79.12242815550235,89.29398314133263,88.9584402020264
668,60.042456074437695,51.48557064002655,68.94171416770435,88.93569681911134,68.27851106729732,75.27967807874487,72.61328007919839,68.87708809946936,93.05813231356679,78.00531319642357
669,48.360555624808605,41.508476512343165,42.635007445817166,47.83588522652531,57.73550568190582,50.18645205249657,43.144230073582065,33.474873450404836,74.02826705393852,55.52759168927343
